"Candidates","Date","SentScore(headline)","SentScore(snippet)","SentScore(lead)","SentScore(avg)","n"
"Biden",2018-12-03,0.36,0,-100,0.18,1
"Biden",2018-12-10,0,0.38,-100,0.19,1
"Biden",2018-12-17,-0.13,0.23,-100,0.05,1
"Biden",2019-01-14,0,0.42,0.42,0.28,1
"Biden",2019-01-21,-0.2,0.39,0.39,0.195,2
"Biden",2019-02-04,0,0.77,0.77,0.51,1
"Biden",2019-02-25,0,0.52,0.295,0.27,2
"Biden",2019-03-04,-0.15,0.33,0.23,0.135,2
"Biden",2019-03-11,-0.1,0.17,0.4,0.156666666666667,3
"Biden",2019-03-18,0.37,0.2,0.645,0.41,2
"Biden",2019-03-25,-0.104,0.214,-0.004,0.034,5
"Biden",2019-04-01,-0.0154545454545455,-0.0527272727272727,0.0809090909090909,0.00454545454545455,22
"Biden",2019-04-08,-0.12,0.085,0.55,0.175,2
"Biden",2019-04-15,-0.18,0.445,0.53,0.265,2
"Biden",2019-04-22,0.0134782608695652,0.0747826086956522,0.164782608695652,0.0843478260869565,23
"Biden",2019-04-29,0.112352941176471,0.0223529411764706,0.134705882352941,0.0905882352941176,17
"Biden",2019-05-06,-0.02,0.02,0.0575,0.02,4
"Biden",2019-05-13,-0.06,-0.198333333333333,-0.345,-0.201666666666667,6
"Biden",2019-05-20,0,0.113333333333333,0.0166666666666667,0.0433333333333333,3
"Biden",2019-05-27,-0.186,-0.066,-0.138,-0.13,5
"Biden",2019-06-03,-0.057,0.138,0.155,0.079,10
"Biden",2019-06-10,0.03375,-0.12125,0.375,0.0975,8
"Biden",2019-06-17,-0.116923076923077,0.17,-0.00307692307692308,0.0169230769230769,13
"Biden",2019-06-24,-0.147272727272727,-0.168181818181818,0.112727272727273,-0.0672727272727273,11
"Biden",2019-07-01,-0.1525,0.1775,-0.03625,-0.0025,8
"Biden",2019-07-08,0,0,0.03,0.01,4
"Biden",2019-07-15,0.1225,0.1475,0.0775,0.1175,4
"Biden",2019-07-22,-0.23,-0.0725,0.1775,-0.0425,4
"Biden",2019-07-29,0.00866666666666666,0.0873333333333333,0.0613333333333333,0.052,15
"Biden",2019-08-05,-0.2,-0.14,0.1725,-0.055,4
"Biden",2019-08-12,-0.24,-0.06,0.42,0.04,2
"Biden",2019-08-19,-0.48,0.175,0.09,-0.07,2
"Biden",2019-08-26,0.0266666666666667,0.12,0.19,0.113333333333333,3
"Biden",2019-09-02,0.13,0.268333333333333,-0.151666666666667,0.0833333333333333,6
"Biden",2019-09-09,-0.026,0.28,-0.15,0.034,5
"Biden",2019-09-16,-0.02,-0.00636363636363636,0.0218181818181818,-0.00181818181818182,11
"Biden",2019-09-23,-0.0885714285714286,-0.0528571428571429,0.0214285714285714,-0.0385714285714286,7
"Biden",2019-09-30,-0.0333333333333333,0.105555555555556,-0.0488888888888889,0.00888888888888888,9
"Biden",2019-10-07,-0.185555555555556,0.00666666666666667,0.00222222222222221,-0.0577777777777778,9
"Biden",2019-10-14,-0.0911111111111111,-0.0433333333333333,-0.116666666666667,-0.0833333333333333,9
"Biden",2019-10-21,0.1925,-0.14,0.255,0.1025,4
"Biden",2019-10-28,0,0.38,-0.64,-0.09,1
"Biden",2019-11-04,-0.0433333333333333,-0.0766666666666667,-0.14,-0.0866666666666667,3
"Biden",2019-11-18,0.125,0.2,-0.16,0.055,2
"Biden",2019-11-25,0,0,0,0,1
"Biden",2019-12-02,0.0316666666666667,0.185,0.05,0.0883333333333333,6
"Biden",2019-12-09,-0.19,0,-0.175,-0.125,2
"Biden",2019-12-16,0,-0.005,0,-0.005,2
"Biden",2019-12-23,0.16,0.2425,-0.075,0.11,4
"Biden",2019-12-30,-0.1525,-0.0725,-0.0375,-0.0875,4
"Biden",2020-01-06,-0.42,-0.05,0.4,-0.025,2
